    BAGPUMP1         BAGPUMP2         BAGPUMP3       BAGPUMP4          BAGPUMP5         BAGPUMP6           BAGPUMP7       BAGPUMP8         BAGPUMP9

 -0.280 -1.350    -0.470 -1.690    -0.750 -1.220   -0.980 -1.470    -1.895 -2.440     -2.950 -2.950      -0.74 -1.64    -1.29  -2.27    1.00  1.00   
 -0.155 -1.340    -0.430 -1.770    -0.650 -1.184   -0.854 -1.441    -1.810 -2.340     -3.040 -3.040      -0.63 -1.61    -1.24  -2.23    1.00  1.00   
 -0.026 -1.324    -0.360 -1.650    -0.550 -1.140   -0.710 -1.407    -1.730 -2.240     -3.100 -3.100      -0.51 -1.55    -1.16  -2.17    1.00  1.00   
  0.090 -1.257    -0.275 -1.590    -0.415 -1.070   -0.541 -1.360    -1.600 -2.120     -3.150 -3.150      -0.36 -1.45    -1.02  -2.09    1.00  1.00   
  0.199 -1.139    -0.160 -1.520    -0.246 -0.975   -0.345 -1.298    -1.420 -2.000     -3.170 -3.170      -0.21 -1.36    -0.87  -1.99    1.00  1.00   
  0.314 -1.011    -0.040 -1.420    -0.077 -0.862   -0.151 -1.222    -1.130 -1.940     -3.170 -3.200      -0.04 -1.24    -0.71  -1.89    1.00  1.00   
  0.446 -0.893     0.130 -1.320     0.073 -0.734    0.026 -1.132    -0.950 -1.900     -3.130 -3.160       0.14 -1.11    -0.53  -1.75    1.00  1.00   
  0.570 -0.770     0.295 -1.230     0.216 -0.605    0.193 -1.030    -0.930 -1.900     -3.070 -3.090       0.31 -1.01    -0.33  -1.58    1.00  1.00   
  0.652 -0.639     0.430 -1.100     0.350 -0.500    0.342 -0.927    -0.950 -1.850     -2.960 -2.990       0.48 -0.87    -0.04  -1.39    1.00  1.00   
  0.709 -0.512     0.550 -0.980     0.467 -0.408    0.474 -0.813    -1.000 -1.750     -2.820 -2.860       0.64 -0.75     0.20  -1.11    1.00  1.00   
  0.738 -0.443     0.620 -0.820     0.528 -0.334    0.580 -0.660    -0.920 -1.630     -2.590 -2.660       0.78 -0.61     0.30  -0.92    1.00  1.00   
  0.740 -0.410     0.634 -0.684     0.550 -0.275    0.664 -0.480    -0.690 -1.420     -2.230 -2.260       0.87 -0.47     0.39  -0.80    1.00  1.00   
  0.746 -0.351     0.643 -0.547     0.558 -0.234    0.664 -0.421    -0.599 -1.328     -2.000 -2.061       0.87 -0.42     0.43  -0.73    1.00  1.00   
  0.742 -0.292     0.646 -0.414     0.560 -0.189    0.661 -0.362    -0.512 -1.211     -1.662 -1.772       0.87 -0.36     0.51  -0.64    1.00  1.00   
